iter,seed,perturb_s,eval_wall_s,verdict_state,mu_hat,lcb,delta,accepted,avg_king_loss,avg_chall_loss,peak_vram_max_mib,peak_vram_per_gpu,hf_cache_gb_pre,hf_cache_gb_post,server_pid,iter_total_s
0,42,0.0,170.1,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89308,"{""0"": 76502, ""1"": 71530, ""2"": 71530, ""3"": 58612, ""4"": 89308, ""5"": 86930, ""6"": 86930, ""7"": 52492}",305.0,305.0,457759,170.3
1,43,0.0,170.0,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89314,"{""0"": 76510, ""1"": 71536, ""2"": 71536, ""3"": 58618, ""4"": 89314, ""5"": 86936, ""6"": 86936, ""7"": 52498}",305.0,305.0,457759,170.3
2,44,0.0,173.1,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89320,"{""0"": 76516, ""1"": 71544, ""2"": 71544, ""3"": 58626, ""4"": 89320, ""5"": 86944, ""6"": 86944, ""7"": 52506}",305.0,305.0,457759,173.4
3,45,0.0,168.6,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89328,"{""0"": 76524, ""1"": 71552, ""2"": 71552, ""3"": 58634, ""4"": 89328, ""5"": 86952, ""6"": 86952, ""7"": 52514}",305.0,305.0,457759,168.9
4,46,0.0,168.0,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89336,"{""0"": 76532, ""1"": 71560, ""2"": 71560, ""3"": 58642, ""4"": 89336, ""5"": 86960, ""6"": 86960, ""7"": 52522}",305.0,305.0,457759,168.2
5,47,0.0,170.1,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89344,"{""0"": 76538, ""1"": 71566, ""2"": 71566, ""3"": 58648, ""4"": 89344, ""5"": 86966, ""6"": 86966, ""7"": 52528}",305.0,305.0,457759,170.4
6,48,0.0,169.5,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89350,"{""0"": 76546, ""1"": 71574, ""2"": 71574, ""3"": 58656, ""4"": 89350, ""5"": 86974, ""6"": 86974, ""7"": 52536}",305.0,305.0,457759,169.7
7,49,0.0,168.2,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89358,"{""0"": 76554, ""1"": 71582, ""2"": 71582, ""3"": 58664, ""4"": 89358, ""5"": 86982, ""6"": 86982, ""7"": 52544}",305.0,305.0,457759,168.4
8,50,0.0,168.3,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89364,"{""0"": 76560, ""1"": 71588, ""2"": 71588, ""3"": 58670, ""4"": 89364, ""5"": 86988, ""6"": 86988, ""7"": 52550}",305.0,305.0,457759,168.5
9,51,0.0,170.4,completed,0.0,0.0,0.0005,False,12.740885,12.740885,89372,"{""0"": 76568, ""1"": 71596, ""2"": 71596, ""3"": 58678, ""4"": 89372, ""5"": 86996, ""6"": 86996, ""7"": 52558}",305.0,305.0,457759,170.7
